Pattern,Success Rate (Strict),Success Rate (Lenient),Controllability Gap,Avg Latency (s),Avg Tokens,Degradation (%),Controllability,Alignment,Abs Degradation,Perturbation Variants,Stability Index,Complexity Decline,Scaling Score,Trace Completeness,Policy Flag Rate,Resource Efficiency,Reasoning Tasks With Trace,Avg Trace Coverage,Avg Coherence,Avg Answer Agreement,Avg Self-Consistency,Judge Fallback Count,CogSafe Tasks Scanned,Avg Toxicity,Avg Grounding,Tasks With Grounding Evidence,Avg Consistency,Avg Constraint Adherence,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Composite
Baseline,0.842,0.842,0.000,4.07,184,28.12,0.822,0.000,0.2368,38,0.7193,0.0000,1.0000,0.0000,0.0000,1.0000,0,0.0000,0.0000,0.8421,,0,19,1.0000,0.6724,13,1.0000,1.0000,,0.9181,,0.9459,1.0000,0.8127,0.6934,0.8740
ReAct,0.632,0.632,0.000,9.09,938,29.17,0.711,1.000,0.1842,38,0.6725,0.0000,1.0000,0.5632,0.0000,0.6767,0,0.0000,0.0000,0.6316,,0,19,1.0000,0.6828,13,1.0000,1.0000,,0.9207,1.0000,0.7377,1.0000,0.7936,0.6743,0.8544
ReAct_Enhanced,0.737,0.895,0.158,15.64,2517,46.43,0.884,1.000,0.3421,38,0.3918,0.0000,1.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.8158,,0,18,1.0000,0.8289,11,1.0000,1.0000,,0.9572,1.0000,0.5078,1.0000,0.6425,0.5306,0.7730
CoT,0.632,0.632,0.000,39.05,1701,33.33,0.586,0.950,0.2105,38,0.7193,0.3571,0.6429,0.0000,0.2500,0.3497,19,0.6579,0.9632,0.6316,,0,19,1.0000,0.5294,13,0.6930,0.9211,0.8137,0.7858,0.9500,0.4481,0.8125,0.6763,0.4213,0.7011
Reflex,0.789,0.789,0.000,3.83,271,26.67,0.846,0.000,0.2105,38,0.6257,0.0000,1.0000,0.0000,0.0000,0.9625,19,0.5000,0.9789,0.7895,,0,19,1.0000,0.6373,12,1.0000,1.0000,0.8326,0.9093,,0.9173,1.0000,0.7864,0.7004,0.8577
ToT,0.895,0.895,0.000,59.12,288,41.18,0.965,0.000,0.3684,38,0.4386,0.0000,1.0000,0.0000,0.0000,0.9554,19,1.0000,0.8553,0.8947,,0,19,1.0000,0.6749,13,0.8289,1.0000,0.8947,0.8760,,0.6167,1.0000,0.6756,0.7700,0.8055
