Pattern,Success Rate (Strict),Success Rate (Lenient),Controllability Gap,Avg Latency (s),Avg Tokens,Degradation (%),Controllability,Alignment,Abs Degradation,Perturbation Variants,Stability Index,Complexity Decline,Scaling Score,Trace Completeness,Policy Flag Rate,Resource Efficiency,Reasoning Tasks With Trace,Avg Trace Coverage,Avg Coherence,Avg Answer Agreement,Avg Self-Consistency,Judge Fallback Count,Dim1,Dim3,Dim4,Dim5,Dim6,Dim7,Composite
Baseline,0.812,0.812,0.000,2.52,196,34.62,0.812,0.000,0.2812,32,0.6667,0.0000,1.0000,0.0000,0.0000,1.0000,0,0.0000,0.0000,0.8125,,0,,,0.9375,1.0000,0.7735,0.6875,0.8496
ReAct,0.625,0.625,0.000,6.74,998,45.00,0.708,1.000,0.2812,32,0.6111,0.0000,1.0000,0.5563,0.0000,0.6632,0,0.0000,0.0000,0.6250,,0,,1.0000,0.7364,1.0000,0.7204,0.6689,0.8251
ReAct_Enhanced,0.750,0.875,0.125,16.30,2577,62.50,0.892,1.000,0.4688,32,0.3333,0.0000,1.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.8125,,0,,1.0000,0.4973,1.0000,0.5694,0.5350,0.7203
CoT,0.562,0.562,0.000,38.61,1704,33.33,0.562,0.950,0.1875,32,0.7222,0.2500,0.7500,0.0000,0.2500,0.3667,16,0.5938,0.9344,0.5625,,0,0.7671,0.9500,0.4177,0.8125,0.7130,0.4108,0.6785
Reflex,0.750,0.750,0.000,3.94,300,33.33,0.833,0.000,0.2500,32,0.5556,0.0000,1.0000,0.0000,0.0000,0.9560,16,0.5000,0.8219,0.7500,,0,0.7383,,0.8932,1.0000,0.7407,0.6912,0.8127
ToT,0.688,0.688,0.000,55.90,289,31.82,0.771,0.000,0.2188,32,0.5556,0.0000,1.0000,0.0000,0.0000,0.9606,16,1.0000,0.8281,0.6875,,0,0.8250,,0.5494,1.0000,0.7458,0.6546,0.7550
