Pattern,Success Rate (Strict),Success Rate (Lenient),Controllability Gap,Avg Latency (s),Avg Tokens,Degradation (%),Controllability,Alignment,Abs Degradation,Perturbation Variants,Stability Index,Complexity Decline,Scaling Score,Trace Completeness,Policy Flag Rate,Resource Efficiency,Reasoning Tasks With Trace,Avg Trace Coverage,Avg Coherence,Avg Answer Agreement,Avg Self-Consistency,Judge Fallback Count,Dim1,Dim3,Dim4,Dim5,Dim6,Dim7,Composite
Baseline,0.812,0.812,0.000,1.97,196,34.62,0.812,0.000,0.2812,32,0.6667,0.0000,1.0000,0.0000,0.0000,1.0000,0,0.0000,0.0000,0.8125,1.0000,0,,,0.9375,1.0000,0.7735,0.6875,0.8496
ReAct,0.625,0.625,0.000,6.73,999,45.00,0.708,1.000,0.2812,32,0.6111,0.0000,1.0000,0.5563,0.0000,0.6681,0,0.0000,0.0000,0.6250,1.0000,0,,1.0000,0.7348,1.0000,0.7204,0.6699,0.8250
ReAct_Enhanced,0.750,0.875,0.125,16.55,2616,62.50,0.892,1.000,0.4688,32,0.3333,0.0000,1.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.8125,1.0000,0,,1.0000,0.4926,1.0000,0.5694,0.5350,0.7194
CoT,0.562,0.562,0.000,38.74,1704,33.33,0.562,0.950,0.1875,32,0.7222,0.2500,0.7500,0.0000,0.2500,0.3768,16,0.5938,0.9625,0.5625,1.0000,0,0.7821,0.9500,0.4177,0.8125,0.7130,0.4129,0.6813
Reflex,0.750,0.750,0.000,3.99,300,33.33,0.833,0.000,0.2500,32,0.5556,0.0000,1.0000,0.0000,0.0000,0.9567,16,0.5000,0.9750,0.7500,0.9583,0,0.8200,,0.8897,1.0000,0.7407,0.6913,0.8284
ToT,0.875,0.875,0.000,55.54,289,42.86,0.958,0.000,0.3750,32,0.5556,0.0000,1.0000,0.0000,0.0000,0.9616,16,1.0000,0.8656,0.8750,0.9375,0,0.8950,,0.6122,1.0000,0.7090,0.7673,0.7967
